,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9256900212314225,0.9068137361443165,0.9256900212314225,0.7732082907604729,0.9256900212314225,0.821283377240056,0.1,linear
CAD,0.868995633187773,0.578158844765343,0.868995633187773,0.5759207737148914,0.868995633187773,0.5769626801739983,0.01,linear
CHF,0.8949771689497716,0.5971848739495799,0.8949771689497716,0.6014414030603188,0.8949771689497716,0.599155805817714,100.0,rbf
Depression,0.8888888888888888,0.8816602316602317,0.8888888888888888,0.7783794162826421,0.8888888888888888,0.8145534568127636,0.1,linear
Diabetes,0.8789144050104384,0.8556332320162108,0.8789144050104384,0.860987700028796,0.8789144050104384,0.8582203805013473,0.1,linear
GERD,0.8544600938967136,0.5501930501930502,0.8544600938967136,0.4799618837237003,0.8544600938967136,0.5011951606366106,0.1,linear
Gallstones,0.8716904276985743,0.8449074074074074,0.8716904276985743,0.6314172749391728,0.8716904276985743,0.669607476635514,0.1,linear
Gout,0.948,0.9383601679154047,0.948,0.8080585533440383,0.948,0.8580724049085113,0.1,linear
Hypercholesterolemia,0.8631090487238979,0.8622059963814939,0.8631090487238979,0.8676702085792996,0.8631090487238979,0.8624425920015579,100.0,rbf
Hypertension,0.8968609865470852,0.5787520823867939,0.8968609865470852,0.5381327238869139,0.8968609865470852,0.555515349932512,100.0,rbf
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01,linear
OA,0.8636363636363636,0.5403603065591719,0.8636363636363636,0.5001347426415547,0.8636363636363636,0.5153816698209627,0.1,linear
OSA,0.9454545454545454,0.9728894507655569,0.9454545454545454,0.7062900669458047,0.9454545454545454,0.7984030674588126,0.1,linear
Obesity,0.9463087248322147,0.9529177718832891,0.9463087248322147,0.9394301470588236,0.9463087248322147,0.9444858420268256,0.01,linear
PVD,0.9505376344086022,0.6302328623757195,0.9505376344086022,0.5667245035666088,0.9505376344086022,0.5929322283213145,0.1,linear
Venous Insufficiency,0.9391100702576113,0.8285714285714285,0.9391100702576113,0.5836943337376538,0.9391100702576113,0.6229964683509917,100.0,rbf
overall,0.9059332342208406,0.6706983528801853,0.9059332342208406,0.6057369848012145,0.9059332342208406,0.6262793091053819,,
